id,Education,Field,Statistics Experience,Data vis experience,trial vis type,trial reported percent,trial true percent,trial log error
-MVRk5RMH4FKcIj1Fios,Bachelors Degree (BS),Chemical Engineering ,Some Basic Statistics Training,Passing Knowledge,pie,0.73,0.5523263279632964,4.1612723669652505
-MVRk5RMH4FKcIj1Fios,Bachelors Degree (BS),Chemical Engineering ,Some Basic Statistics Training,Passing Knowledge,bar,0.74,0.6241395268538206,3.5497981961783647
-MVRk5RMH4FKcIj1Fios,Bachelors Degree (BS),Chemical Engineering ,Some Basic Statistics Training,Passing Knowledge,bar,0.8,0.7520755757313495,2.2979081616115815
-MVRk5RMH4FKcIj1Fios,Bachelors Degree (BS),Chemical Engineering ,Some Basic Statistics Training,Passing Knowledge,bar,0.89,0.8703972454745368,1.0602379677345581
-MVRk5RMH4FKcIj1Fios,Bachelors Degree (BS),Chemical Engineering ,Some Basic Statistics Training,Passing Knowledge,spiral,0.49,0.4399774094145492,2.358187792807633
-MVRk5RMH4FKcIj1Fios,Bachelors Degree (BS),Chemical Engineering ,Some Basic Statistics Training,Passing Knowledge,spiral,0.89,0.8637911093368232,1.4572733419066493
-MVRk5RMH4FKcIj1Fios,Bachelors Degree (BS),Chemical Engineering ,Some Basic Statistics Training,Passing Knowledge,pie,0.18,0.2534423732102319,2.9009609378803956
-MVRk5RMH4FKcIj1Fios,Bachelors Degree (BS),Chemical Engineering ,Some Basic Statistics Training,Passing Knowledge,spiral,0.4,0.3715366533539839,1.5711111066105135
-MVRk5RMH4FKcIj1Fios,Bachelors Degree (BS),Chemical Engineering ,Some Basic Statistics Training,Passing Knowledge,pie,0.56,0.548930458965912,0.3009485092650324
-MVRk5RMH4FKcIj1Fios,Bachelors Degree (BS),Chemical Engineering ,Some Basic Statistics Training,Passing Knowledge,spiral,0.73,0.6927286227952728,1.9456592829039216
-MVRk5RMH4FKcIj1Fios,Bachelors Degree (BS),Chemical Engineering ,Some Basic Statistics Training,Passing Knowledge,spiral,0.9,0.8853995002810304,0.6645283249523446
-MVRknNBAPQPtNoOvArh,Bachelors Degree (BS),Chemical engineering,Some Basic Statistics Training,Passing Knowledge,spiral,0.1,0.6369952948907681,5.750191897914475
-MVRknNBAPQPtNoOvArh,Bachelors Degree (BS),Chemical engineering,Some Basic Statistics Training,Passing Knowledge,spiral,0.1,0.8532229335226106,6.2373972403402815
-MVRknNBAPQPtNoOvArh,Bachelors Degree (BS),Chemical engineering,Some Basic Statistics Training,Passing Knowledge,bar,0.4,0.36771602339948606,1.7456235741447441
-MVRknNBAPQPtNoOvArh,Bachelors Degree (BS),Chemical engineering,Some Basic Statistics Training,Passing Knowledge,bar,0.46,0.5118975950818702,2.410004411569042
-MVRknNBAPQPtNoOvArh,Bachelors Degree (BS),Chemical engineering,Some Basic Statistics Training,Passing Knowledge,pie,0.2,0.3858549607183303,4.225775904181502
-MVRknNBAPQPtNoOvArh,Bachelors Degree (BS),Chemical engineering,Some Basic Statistics Training,Passing Knowledge,spiral,0.1,0.8936009891420827,6.312612518334159
-MVRknNBAPQPtNoOvArh,Bachelors Degree (BS),Chemical engineering,Some Basic Statistics Training,Passing Knowledge,pie,0.1,0.8181020048877641,6.168626001065855
-MVRknNBAPQPtNoOvArh,Bachelors Degree (BS),Chemical engineering,Some Basic Statistics Training,Passing Knowledge,bar,0.20,0.44214682427867324,4.605238439490777
-MVRknNBAPQPtNoOvArh,Bachelors Degree (BS),Chemical engineering,Some Basic Statistics Training,Passing Knowledge,pie,0.25,0.7971871908566963,5.7772545019732116
-MVRknNBAPQPtNoOvArh,Bachelors Degree (BS),Chemical engineering,Some Basic Statistics Training,Passing Knowledge,pie,0.2,0.832087804202323,5.984903291943087
-MVRknNBAPQPtNoOvArh,Bachelors Degree (BS),Chemical engineering,Some Basic Statistics Training,Passing Knowledge,bar,0.3,0.8245579380914685,5.7164640172897805
-MVRknNBAPQPtNoOvArh,Bachelors Degree (BS),Chemical engineering,Some Basic Statistics Training,Passing Knowledge,pie,0.15,0.7540303253217973,5.919531551797046
-MVRknNBAPQPtNoOvArh,Bachelors Degree (BS),Chemical engineering,Some Basic Statistics Training,Passing Knowledge,bar,0.35,0.7076409733635785,5.1654737325931235
-MVRknNBAPQPtNoOvArh,Bachelors Degree (BS),Chemical engineering,Some Basic Statistics Training,Passing Knowledge,spiral,0.1,0.6548625023631595,5.797304866654277
-MVRknNBAPQPtNoOvArh,Bachelors Degree (BS),Chemical engineering,Some Basic Statistics Training,Passing Knowledge,spiral,0.05,0.9534461464004501,6.499361421128832
-MVRm8Ka76Lz8YWnjHSc,Bachelors Degree (BS),Computer science,A lot of statistics experience,Knowledgable,pie,.66,0.6791464017887463,1.0283146630105893
-MVRm8Ka76Lz8YWnjHSc,Bachelors Degree (BS),Computer science,A lot of statistics experience,Knowledgable,pie,.25,0.37945864560898257,3.7082826649777743
-MVRm8Ka76Lz8YWnjHSc,Bachelors Degree (BS),Computer science,A lot of statistics experience,Knowledgable,spiral,.75,0.5999343676251246,3.9194891345551044
-MVRm8Ka76Lz8YWnjHSc,Bachelors Degree (BS),Computer science,A lot of statistics experience,Knowledgable,bar,.3,0.23415326710177636,2.7462425198340554
-MVRm8Ka76Lz8YWnjHSc,Bachelors Degree (BS),Computer science,A lot of statistics experience,Knowledgable,spiral,.8,0.8989954974354849,3.3254655338281434
-MVRm8Ka76Lz8YWnjHSc,Bachelors Degree (BS),Computer science,A lot of statistics experience,Knowledgable,bar,.65,0.6746893310503874,1.3751412743955915
